"","lallSchools","lallDistricts"
"1","Ingenium Charter","Ingenium Charter School"
"2","Christian Sorensen Elementary","Whittier City Elementary"
"3","Sierra Vista Elementary (Val Verde)","Val Verde Unified"
"4","Killian Elementary","Rowland Unified"
"5","Woodworth-Monroe Tk-8 Academy","Inglewood Unified"
"6","Hooper Avenue Elementary","Los Angeles Unified (Central)"
"7","Short Avenue Elementary","Los Angeles Unified (West)"
"8","Garfield Elementary (Long Beach)","Long Beach Unified"
"9","Lowell Elementary (Santa Ana)","(Private) Santa Ana Unified"
"10","Rowan Avenue Elementary","(Private) Los Angeles Unified"
"11","Rice (Eldridge) Elementary","Garvey Elementary"
"12","Wadsworth Avenue Elementary","(Private) Los Angeles Unified"
"13","La Merced Elementary","Montebello Unified"
"14","Prisk Elementary","Long Beach Unified"
"15","Citrus Glen Elementary","Ventura Unified"
"16","Walnut Elementary (Walnut Valley)","Walnut Valley Unified"
"17","Kester Gifted Magnet","Los Angeles Unified"
"18","Pacoima Charter Elementary","Los Angeles Unified (Northeast)"
"19","Hugo Reid Elementary","Arcadia Unified"
"20","Wilkerson Elementary","El Monte City"
"21","Shelyn Elementary","Rowland Unified"
"22","Carver Elementary (Long Beach)","Long Beach Unified"
"23","Kester Avenue Elementary","Los Angeles Unified (Northeast)"
"24","Adams Elementary (Newport-Mesa)","Newport-Mesa Unified"
"25","Hancock Park Elementary","Los Angeles Unified (West)"
"26","Villa Park Elementary","Orange Unified"
"27","Georgia Brown Dual Immersion Magnet Elementary","Paso Robles Joint Unified"
"28","Portola Elementary","Ventura Unified"
"29","Alicante Avenue Elementary","Lamont Elementary School District"
"30","Hollywood Beach Elementary","Hueneme Elementary"
"31","Cottonwood Elementary (Westside Union)","Westside Union Elementary"
"32","Mulberry Elementary (East Whittier City)","East Whittier City Elementary"
"33","Sierra Vista Elementary (La Habra City)","La Habra City Elementary"
"34","Quincy Jones Elementary","(Private) Los Angeles Unified"
"35","Winter Gardens Elementary (Montebello)","(Private) Montebello Unified"
"36","Porter Ranch Community","(Private) Los Angeles Unified"
"37","West Whittier Elementary","Whittier City Elementary"
"38","Glenoaks Elementary","(Private) Glendale Unified"
"39","Olivia Nieto Herrera Elementary","(Private) Long Beach Unified"
"40","Pacific Drive Elementary","Fullerton Elementary"
"41","Ranchito Avenue Elementary","Los Angeles Unified (Northeast)"
"42","Rio Plaza Elementary","Rio Elementary"
"43","Ivanhoe Elementary","Los Angeles Unified"
"44","Eagle Rock Elementary","(Private) Los Angeles Unified"
"45","Castelar Street Elementary","(Private) Los Angeles Unified"
"46","St. Cyprian Elementary","Archdiocese of Los Angeles"
"47","Gardner Street Elementary","Los Angeles Unified (West)"
"48","Paddison Elementary","Little Lake City Elementary"
"49","Sunland Elementary","(Private) Los Angeles Unified"
"50","Haynes Charter For Enriched Studies","Los Angeles Unified (Northwest)"
"51","Rosewood Park","Montebello Unified"
"52","Grand View Boulevard Elementary","Los Angeles Unified (West)"
"53","Elysian Heights ES Arts Magnet","(Private) Los Angeles Unified"
"54","Sixty-First Street Elementary","(Private) Los Angeles Unified"
"55","Marian Bergeson Elementary","Capistrano Unified"
"56","Canterbury Avenue Elementary","(Private) Los Angeles Unified"
"57","Serrano Elementary (Orange)","Orange Unified"
"58","Dr. Peter Marshall","Magnolia Elementary"
"59","Lugo Elementary","Lynwood Unified"
"60","Stonehurst Avenue Elementary","Los Angeles Unified (Northeast)"
"61","Peak Prep Pleasant Valley","Pleasant Valley"
"62","Encinita Elementary","Rosemead Elementary"
"63","Franklin Avenue Elementary","Los Angeles Unified"
"64","Loretta Lampton Elementary","Norwalk-La Mirada Unified"
"65","Commonwealth Avenue Elementary","Los Angeles Unified (Central)"
"66","Abraham Lincoln Elementary (Glendale Unified)","(Private) Glendale Unified"
"67","Excelsior Elementary","Garden Grove Unified"
"68","Fletcher Drive Elementary","Los Angeles Unified (Central)"
"69","Fremont Elementary (Montebello)","Montebello Unified"
"70","Eshelman Avenue Elementary","Los Angeles Unified"
"71","Live Oak Elementary (Castaic)","Castaic Union"
"72","Mark Keppel Elementary","Glendale Unified"
"73","Cantara Street Elementary","Los Angeles Unified (Northwest)"
"74","Catskill Avenue Elementary","Los Angeles Unified"
"75","Toluca Lake Elementary","(Private) Los Angeles Unified"
"76","Newberry Springs Elementary","Silver Valley Unified"
"77","Harrison Street Elementary","(Private) Los Angeles Unified"
"78","Fremont Elementary (Long Beach)","Long Beach Unified"
"79","Park Western Place Elementary","(Private) Los Angeles Unified"
"80","Liggett Street Elementary","Los Angeles Unified (Northwest)"
"81","Lincoln Fundamental Elementary","Corona-Norco Unified"
"82","Ninety-Ninth Street Elementary","Los Angeles Unified (South)"
"83","Sutherland Elementary","(Private) Glendora Unified"
"84","Manchester Avenue Elementary","Los Angeles Unified (South)"
"85","Coldwater Canyon Elementary","Los Angeles Unified (Northeast)"
"86","Rowan Elementary","Los Angeles Unified (East)"
"87","Monte Vista Elementary (Glendale)","(Private) Glendale Unified"
"88","George De La Torre Jr. Elementary","Los Angeles Unified (South)"
"89","Woodlawn Avenue Elementary","(Private) Los Angeles Unified"
"90","Harry Bridges Span","Los Angeles Unified (South)"
"91","Murphy Ranch Elementary","East Whittier City Elementary"
"92","Osceola Street Elementary","Los Angeles Unified"
"93","Dixie Canyon Community Charter","Los Angeles Unified"
"94","Magnolia Elementary (Riverside)","(Private) Riverside Unified"
"95","Will Rogers Elementary (Ventura)","Ventura Unified"
